year,state,white_evangelist_pct
2016,AL,0.35
2016,AK,0.16
2016,AZ,0.14
2016,AR,0.37
2016,CA,0.09
2016,CO,0.15
2016,CT,0.04
2016,DE,0.13
2016,FL,0.15
2016,GA,0.22
2016,HI,0.06
2016,ID,0.15
2016,IL,0.13
2016,IN,0.25
2016,IA,0.22
2016,KS,0.21
2016,KY,0.33
2016,LA,0.17
2016,ME,0.17
2016,MD,0.08
2016,MA,0.05
2016,MI,0.18
2016,MN,0.17
2016,MS,0.31
2016,MO,0.28
2016,MT,0.2
2016,NE,0.19
2016,NV,0.08
2016,NH,0.11
2016,NJ,0.05
2016,NM,0.12
2016,NY,0.05
2016,NC,0.28
2016,ND,0.2
2016,OH,0.23
2016,OK,0.3
2016,OR,0.18
2016,PA,0.17
2016,RI,0.06
2016,SC,0.27
2016,SD,0.29
2016,TN,0.36
2016,TX,0.19
2016,UT,0.05
2016,VT,0.07
2016,VA,0.2
2016,WA,0.18
2016,WV,0.36
2016,WI,0.15
2016,WY,0.21
2020,AL,0.27
2020,AK,0.07
2020,AZ,0.11
2020,AR,0.28
2020,CA,0.09
2020,CO,0.13
2020,CT,0.09
2020,DE,0.11
2020,FL,0.13
2020,GA,0.17
2020,HI,0.05
2020,ID,0.17
2020,IL,0.13
2020,IN,0.23
2020,IA,0.17
2020,KS,0.24
2020,KY,0.27
2020,LA,0.14
2020,ME,0.13
2020,MD,0.08
2020,MA,0.09
2020,MI,0.17
2020,MN,0.17
2020,MS,0.21
2020,MO,0.22
2020,MT,0.12
2020,NE,0.15
2020,NV,0.1
2020,NH,0.18
2020,NJ,0.09
2020,NM,0.1
2020,NY,0.06
2020,NC,0.2
2020,ND,0.18
2020,OH,0.17
2020,OK,0.25
2020,OR,0.15
2020,PA,0.14
2020,RI,0.08
2020,SC,0.26
2020,SD,0.21
2020,TN,0.27
2020,TX,0.14
2020,UT,0.06
2020,VT,0.09
2020,VA,0.17
2020,WA,0.13
2020,WV,0.25
2020,WI,0.15
2020,WY,0.14
